commit	score	runtime_seconds	budget	status	target	description	artifacts
10aeb846a	0.099900	90	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 10	candidate	tasks/cifar10/client.py	local_train_steps=10	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
10aeb846a	0.266900	100	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 20	discard	tasks/cifar10/client.py	local_train_steps=20	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
10aeb846a	0.100000	90	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 1	candidate	tasks/cifar10/client.py	local_train_steps=1	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
10aeb846a	0.100000	90	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 3	candidate	tasks/cifar10/client.py	local_train_steps=3	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
10aeb846a	0.113600	93	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 7	candidate	tasks/cifar10/client.py	local_train_steps=7	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
10aeb846a	0.000000	3	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn_norm --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --timeout 1200	crash	tasks/cifar10/client.py	model_arch=moderate_cnn_norm	run.log
10aeb846a	0.415000	100	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 50	candidate	tasks/cifar10/client.py	local_train_steps=50	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
10aeb846a	0.000000	38	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --aggregator fedadam	crash	tasks/cifar10/client.py	aggregator=fedadam	/tmp/nvflare/simulation/autofl_cifar10_fedadam_alpha0.5_seed0
10aeb846a	0.100700	90	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn_small_head --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 5	candidate	tasks/cifar10/client.py	model_arch=moderate_cnn_small_head_local5	/tmp/nvflare/simulation/autofl_cifar10_moderate_cnn_small_head_weighted_alpha0.5_seed0
10aeb846a	0.243600	96	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --local_train_steps 15	candidate	tasks/cifar10/client.py	local_train_steps=15	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
10aeb846a	0.000000	2	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 128 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --timeout 1800	crash	tasks/cifar10/client.py	batch_size=128	run.log
10aeb846a	0.856900	268	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --aggregator scaffold	candidate	tasks/cifar10/client.py	aggregator=scaffold	/tmp/nvflare/simulation/autofl_cifar10_scaffold_alpha0.5_seed0
ab16311e9	0.000000	2	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --aggregator fedprox	crash	tasks/cifar10/client.py	aggregator=fedprox	run.log
ab16311e9	0.000000	38	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --aggregator fedadam --lr 0.001	crash	tasks/cifar10/client.py	aggregator=fedadam lr=0.001	/tmp/nvflare/simulation/autofl_cifar10_fedadam_alpha0.5_seed0
ab16311e9	0.643100	219	--n_clients 8 --num_rounds 20 --alpha 0.5 --seed 0 --batch_size 64 --eval_batch_size 1024 --model_arch moderate_cnn --max_model_params 5000000 --aggregation_epochs 4 --final_eval_clients 1 --momentum 0.99 --lr 0.001	candidate	tasks/cifar10/client.py	momentum=0.99 lr=0.001	/tmp/nvflare/simulation/autofl_cifar10_weighted_alpha0.5_seed0
